scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Havardia pallens (Pithecellobium pallens),tenaza,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Haworthia spp.,haworthia,"Perennial, Succulent",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Hazardia cana,Guadalupe Hazardia,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hazardia detonsa,island bristleweed,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hazardia squarrosa,Sawtooth Goldenbush,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hebe spp.,hebe,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hechtia spp and cvs.,hechtia,"Perennial, Succulent",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hedera canariensis,Algerian ivy,"Ground Cover, Vine",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hedera helix,English ivy,"Ground Cover, Vine",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hedera nepalensis,Himalayan ivy,"Ground Cover, Vine",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hedychium coccinium (partial shade in South Inland),red ginger lily,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium coronarium,white ginger lily,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium cvs,ginger lily,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium flavescens,yellow ginger,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium flavum,yellow butterfly ginger,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium gardnerianum,Kahili ginger,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedychium greenii,red ginger,Perennial,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hedyscepe canterburyana,umbrella palm,"Tree, Palm and Cycad",Unknown,N/A%,N/A,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helenium autumnale,common sneeze weed,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helenium bigelovii,Bigelow sneezeweed,"Perennial, California Native",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helenium hybrids and cvs.,sneeze weed,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helenium puberulum,rosilla,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthella castanea,Diablo Helianthella,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthemum nummularium & cvs.,common sunrose,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthemum scoparium,Common Sun Rose,"Shrub, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60
Helianthus angustifolius,swamp sunflower,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthus bolanderi,Serpentine Sunflower,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthus californicus,California Sunflower,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60
Helianthus debilis,curry plant,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helianthus gracilentus,Slender Sunflower,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60
Helianthus maximiliani,Maximilian sunflower,Perennial,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A
Helianthus multiflorus,sunflower,Perennial,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helichrysum amorginum ssp. & cvs.,ruby cluster straw flower,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helichrysum bracteatum,straw flower,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helichrysum italicum,chamomile sunray,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helichrysum petiolare,licorice plant,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helichrysum thianschanicum,licorice plant,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helictotrichon sempervirens and cvs,blue oat grass,Ornamental Grass,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heliopsis cvs.,false sunflowers,Perennial,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heliopsis helianthoides scabra,golden sunflower,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heliotropium amplexicaule (H. anchusaefolium),clasping heliotrope,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heliotropium arborescens,common heliotrope,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heliotropium curassavicum,"Salt Heliotrope, Seaside Heliotrope","Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helleborus argutifolius,Corsican hellebore,"Perennial, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helleborus foetidus,stinking hellebore,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helleborus lividus,Majorcan hellebore,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helleborus orientalis and hybrids,Christmas/Lenten rose,Perennial,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Helleborus x hybridus 'Red Lady',Red Lady Lenten rose,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Helwingia chinensis,helwingia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hemerocallis spp. & cvs.,day lily,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hemionitis arifolia,heart leaf fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hemizonia clementina,Island Tarweed,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hemizonia minthornii,Santa Susana Tarplant,"Shrub,",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hemizygia 'Candy Kisses',Candy Kisses hemizygia,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heptacodium miconioides,seven sons tree,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hermannia verticillata,honeybells,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Herniaria glabra,green carpet,Ground Cover,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hesperaloe campanulata ssp. & cvs.,bell flower hesperaloe,"Shrub, Succulent",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe changii,hesperaloe (changii),"Shrub, Succulent",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperaloe funifera,Coahuilan hesperaloe,"Shrub, Succulent",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe funifera ssp. chiangii,Wide Leaf Giant Hesperaloe,Succulent,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe nocturna,seven-son flower,"Shrub, Succulent",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A
Hesperaloe parviflora,red/ yellow yucca,"Shrub, Succulent, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe parviflora 'MSWNPERED' Sandia Glow®,Sandia Glow hesperaloe,Succulent,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperaloe parviflora ssp. & cvs.,Red Yucca,Succulent,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe tenuifolia,tropical hesperaloe,"Shrub, Succulent",Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperaloe x 'MSWNIvory Swan',Nite Lights® Yucca,Succulent,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperaloe x 'PERFU' PP21728,Pink Parade,Succulent,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Hesperantha coccinea (Schizostylis)SHADE,river lily,Bulb,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Hesperis matronalis,Dame's Rocket,Perennial,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis arizonica (Cupressus arizonica) ssp. & cvs.,Arizona cypress,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60
Hesperocyparis bakeri (Cupressus bakeri),Modoc cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis forbesii (Cupressus forbesii),Tecate cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hesperocyparis goveniana (Cupressus goveniana),Gowen cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis guadalupensis (Cupressus guadalupensis),Guadalupe Island cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hesperocyparis macnabiana (Cupressus macnabiana),MacNab cypress,"Tree, California Native",Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis macrocarpa (Cupressus macrocarpa),Monterey cypress,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hesperocyparis montana (Cupressus montana),San Pedro Martir cypress,"Tree, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis nevadensis (Cupressus nevadensis),Piute cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hesperocyparis sargentii (Cupressus sargentii),Sargent cypress,"Tree, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
"Hesperocyparis stephensonii (Cupressus arizonica ssp. arizonica, C. arizonica var. glabra))",Cuyamaca cypress,"Tree, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
"Hesperoyucca spp. (Yucca whipplei, Yucca californica)",yucca,"Shrub, Succulent, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Heterocentron elegans,Spanish shawl,Shrub,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heteromeles arbutifolia ssp. & cvs.,toyon,"Shrub, California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heterotheca sessiliflora,sessile flower false golden aster,"Perennial, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heterotheca villosa (Chrysopsis villosa),hairy golden aster,"Perennial, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera 'Rosada',alum root,"Perennial, California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera cylindrica,Alpine Alum Root,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera elegans,urn flowered alumroot,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera hirsutissima,Idyllwild rock flower,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
"Heuchera hybrids, ssp. & cvs. ( CA natives and non-natives)",coral bells cultivars,"Perennial, California Native, Arboretum All-Star",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera maxima,island alum root,"Perennial, California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera micrantha,crevice alum root,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Heuchera sanguinea,coral bells,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hibanobambusa tranquillans,inyouchikuzoku,Perennial,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibbertia aspera,hibbertia (aspera),Shrub,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibbertia cuneiformis,cut leaf Guinea flower,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Hibbertia pedunculata,hibbertia (pedunculata),"Ground Cover, Shrub",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibbertia scandens,Guinea gold vine,Vine,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Hibbertia vestita,hibbertia (vestita),Shrub,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibiscus lasiocarpus,California hibiscus,"Perennial, California Native",High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibiscus moscheutos & cvs.,mallow rose,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A
Hibiscus mutabilis,confederate rose,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibiscus rosa-sinensis,Chinese hibiscus,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hibiscus splendens,pink hollyhock tree,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibiscus syriacus,rose of Sharon,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hibiscus syriacus 'Gandini Santiago' Purple Pillar®,Purple Pillar rose of Sharon,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
