symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ACOCC,ACNEL2,Achnatherum nelsonii (Scribn.) Barkworth ssp. longiaristatum (Barkworth & Maze) Barkworth,,Poaceae,True,OR
ACOCC,STCA2,Stipa californica Merr. & Burtt Davy,,Poaceae,True,OR
ACOCC,STNEL3,Stipa nelsonii Scribn. var. longiaristata Barkworth & Maze,,Poaceae,True,OR
ACOCC,STOCC,Stipa occidentalis Thurb. var. californica (Merr. & Burtt Davy) C.L. Hitchc.,,Poaceae,True,OR
ACOCP,,Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth,pubescent western needlegrass,Poaceae,False,OR
ACOCP,STEL2,Stipa elmeri Piper & Brodie ex Scribn.,,Poaceae,True,OR
ACOCP,STOCP,"Stipa occidentalis Thurb. var. pubescens (Vasey) Maze, Roy L. Taylor & MacBryde",,Poaceae,True,OR
ACONI,,Aconitum L.,monkshood,Ranunculaceae,False,OR
ACORU,,Acorus L.,sweetflag,Acoraceae,False,OR
ACPI2,,Achnatherum pinetorum (M.E. Jones) Barkworth,pine needlegrass,Poaceae,False,OR
ACPI2,STPI2,Stipa pinetorum M.E. Jones,,Poaceae,True,OR
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,False,OR
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,True,OR
ACRE3,,Acroptilon repens (L.) DC.,hardheads,Asteraceae,False,OR
ACRE3,CEPI3,Centaurea picris Pall. ex Willd.,,Asteraceae,True,OR
ACRE3,CERE6,Centaurea repens L.,,Asteraceae,True,OR
ACROP,,Acroptilon Cass.,hardheads,Asteraceae,False,OR
ACRU,,Acer rubrum L.,red maple,Aceraceae,False,OR
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,True,OR
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,False,OR
ACRUA8,,Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén,red baneberry,Ranunculaceae,False,OR
ACRUA8,ACAR7,Actaea arguta Nutt.,,Ranunculaceae,True,OR
ACRUA8,ACARV,Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.,,Ranunculaceae,True,OR
ACRUA8,ACRUA,Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson,,Ranunculaceae,True,OR
ACRUA8,ACSPA,Actaea spicata L. var. arguta (Nutt.) Torr.,,Ranunculaceae,True,OR
ACSP12,,Achnatherum speciosum (Trin. & Rupr.) Barkworth,desert needlegrass,Poaceae,False,OR
ACSP12,STSP3,Stipa speciosa Trin. & Rupr.,,Poaceae,True,OR
ACTAE,,Actaea L.,baneberry,Ranunculaceae,False,OR
ACTH7,,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass,Poaceae,False,OR
ACTH7,STTH2,Stipa thurberiana Piper,,Poaceae,True,OR
ACTR,,Achlys triphylla (Sm.) DC.,sweet after death,Berberidaceae,False,OR
ACTR,ACTRT,Achlys triphylla (Sm.) DC. ssp. triphylla,,Berberidaceae,True,OR
ACWA,,Achnatherum wallowaense Maze & K.A. Robson,Wallowa needlegrass,Poaceae,False,OR
ACWA,ACWA4,"Achnatherum wallowaensis Maze & K.A. Robson, orth. var.",,Poaceae,True,OR
ACWE3,,Achnatherum webberi (Thurb.) Barkworth,Webber needlegrass,Poaceae,False,OR
ACWE3,ORWE,Oryzopsis webberi (Thurb.) Benth. ex Vasey,,Poaceae,True,OR
ACWE3,STWE,Stipa webberi (Thurb.) B.L. Johnson,,Poaceae,True,OR
