symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
CNDU,PIDU2,Pitavia dumosa Nutt.,,Rutaceae,True,CA
CNEOR,,Cneoridium Hook. f.,cneoridium,Rutaceae,False,CA
CNICU,,Cnicus L.,cnicus,Asteraceae,False,CA
COAJ,,Consolida ajacis (L.) Schur,doubtful knight's-spur,Ranunculaceae,False,CA
COAJ,COAM4,Consolida ambigua (L.) P.W. Ball & Heywood,,Ranunculaceae,True,CA
COAJ,DEAJ,Delphinium ajacis L.,,Ranunculaceae,True,CA
COAJ,DEAM2,Delphinium ambiguum L.,,Ranunculaceae,True,CA
COAL4,,Convolvulus althaeoides L.,mallow bindweed,Convolvulaceae,False,CA
COAM8,,Corispermum americanum (Nutt.) Nutt.,American bugseed,Chenopodiaceae,False,CA
COAMA2,,Corispermum americanum (Nutt.) Nutt. var. americanum,American bugseed,Chenopodiaceae,False,CA
COAMA2,COMA23,Corispermum marginale Rydb. p.p.,,Chenopodiaceae,True,CA
COAMA2,COOR3,Corispermum orientale auct. non Lam.,,Chenopodiaceae,True,CA
COAMA2,COSI6,Corispermum simplicissimum Lunell,,Chenopodiaceae,True,CA
COAR4,,Convolvulus arvensis L.,field bindweed,Convolvulaceae,False,CA
COAR4,COAM10,Convolvulus ambigens House,,Convolvulaceae,True,CA
COAR4,COIN7,Convolvulus incanus auct. non Vahl,,Convolvulaceae,True,CA
COAR4,STAR7,Strophocaulos arvensis (L.) Small,,Convolvulaceae,True,CA
COAR6,,Colutea arborescens L.,bladder senna,Fabaceae,False,CA
COAU12,,Cordyline australis (G. Forst.) Endl.,cabbage tree,Liliaceae,False,CA
COAU2,,Corydalis aurea Willd.,scrambled eggs,Fumariaceae,False,CA
COAU2,CAAU11,Capnoides aureum (Willd.) Kuntze,,Fumariaceae,True,CA
COAU2,COWA5,Corydalis washingtoniana Fedde,,Fumariaceae,True,CA
COAU3,,Cotula australis (Sieber ex Spreng.) Hook. f.,Australian waterbuttons,Asteraceae,False,CA
COBA,,Collinsia bartsiifolia Benth.,white blue eyed Mary,Scrophulariaceae,False,CA
COBAB,,Collinsia bartsiifolia Benth. var. bartsiifolia,white blue eyed Mary,Scrophulariaceae,False,CA
COBAD,,Collinsia bartsiifolia Benth. var. davidsonii (Parish) Newsom,Davidson's blue eyed Mary,Scrophulariaceae,False,CA
COBAH,,Collinsia bartsiifolia Benth. var. hirsuta (Kellogg) Pennell,white blue eyed Mary,Scrophulariaceae,False,CA
COBAS,,Collinsia bartsiifolia Benth. var. stricta Newsom,white blue eyed Mary,Scrophulariaceae,False,CA
