Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Eragrostis echinochloidea,"African lovegrass, tick grass, Krummelgras",Watch,,,,,,
Erica lusitanica,Spanish heath; Portuguese heath; urze,Limited,,C,B,C,2.5,
Erodium cicutarium,redstem filaree; redstem stork's bill; filaree,Limited,,C,C,A,3,
Eucalyptus camaldulensis,red gum; river red gum; Red River gum,Limited,,C,C,C,2,
Eucalyptus cladocalyx,sugargum,Watch,,,,,,
Eucalyptus globulus,blue gum; Tasmanian blue gum; blue gum Eucalyptus; common Eucalyptus; Southern blue gum; Victorian blue gum,Limited,,B,C,B,3,
Euphorbia lathyris,caper spurge,Watch,,,,,,
Euphorbia myrsinites,"myrtle spurge, creeping spurge",Watch,,,,,,
Euphorbia oblongata,eggleaf spurge; oblong spurge,Limited,,C,C,B,2.5,
Euphorbia terracina,carnation spurge; Geraldton carnationweed,Limited,,C,B,C,2,
Euphorbia virgata,leafy spurge; faitours-grass; wolf's milk,High,,A,A,No score calculated,3.5,
Fallopia ×bohemica,Bohemian knotweed,Watch,,,,,,
Fallopia japonica,Japanese knotweed; Mexican bamboo,Moderate,Alert,B,B,D,3,
Fallopia sachalinensis,giant knotweed; sakhalin knotweed; sacaline,Moderate,Alert,B,B,D,2.5,
Festuca arundinacea,reed fescue; alta fescue; coarse fescue; rescue; reed fescue; tall fescue; Kentucky fescue,Moderate,,B,B,A,3,
Festuca myuros,rat-tail fescue; red-tailed fescue; sixweeksgrass; zorro annual fescue,Moderate,,B,B,A,3,
Festuca perennis,Italian ryegrass,Moderate,,B,B,A,2.5,
Ficus carica,edible fig,Moderate,,B,A,B,2.5,
Foeniculum vulgare,fennel; sweet fennel; sweet anise,Moderate,,B,B,A,3,
Galega officinalis,professorweed,Watch,,,,,,
Galenia pubescens,"coastal Galenia, Galenia, blanket weed, carpet weed, green Galenia",Watch,,,,,,
Gazania linearis,Gazania; treasure flower,Moderate,Alert,B,B,C,2,
Genista linifolia,Mediterranean broom,Watch,,,,,,
Genista monosperma,bridal veil broom,Moderate,Alert,B,B,C,2,
Genista monspessulana,French broom; soft broom; canary broom; Montepellier broom,High,,A,A,B,3,
Geranium dissectum,cutleaf Geranium,Limited,,Could not calculate,B,A,2,
Geranium lucidum,shining Geranium,Watch,,,,,,
Geranium purpureum,little robin,Limited,,C,B,B,3,
Glebionis coronaria,"garland Chrysanthemum, crown daisy",Limited,,C,B,B,2.5,
Glyceria declinata,mannagrass; sweetgrass; waxy mannagrass,Moderate,,B,B,B,2.5,
Grevillea robusta,silkoak,Watch,,,,,,
Gunnera tinctoria,Chilean Gunnera,Watch,,,,,,
Gypsophila paniculata,baby's breath,Watch,,,,,,
Halogeton glomeratus,Halogeton,Moderate,,B,A,B,3,
Hedera canariensis,Algerian ivy,High,,A,A,A,2.5,
Hedera helix,English ivy,High,,A,A,A,2.5,
Helianthus tuberosus,Jerusalem artichoke,Watch,,,,,,
Helichrysum petiolare,licorice plant,Limited,,C,B,C,2.5,
Heliotropium amplexicaule,clasping heliotrope,Watch,,,,,,
Helminthotheca echioides,bristly ox-tongue; bugloss; bugloss-picris,Limited,,C,B,B,2.5,
Heracleum mantegazzianum,giant hogweed,Watch,,,,,,
Hieracium aurantiacum,orange hawkweed,Watch,,,,,,
Hirschfeldia incana,short-pod mustard; Mediterranean mustard; summer mustard; Greek mustard,Moderate,,B,B,A,2,
Holcus lanatus,common velvet grass; Yorkshire fog,Moderate,,B,B,A,3,
Hordeum marinum,Mediterranean barley; seaside barley,Moderate,,C,B,A,3,
Hordeum murinum,"hare barley, foxtail, wild barley, wall barley, smooth barley",Moderate,,C,B,A,3,
Hydrilla verticillata,Hydrilla; water thyme; Florida Elodea,High,,A,B,C,3,
Hyparrhenia hirta,Tambookie grass,Watch,,,,,,
Hypericum androsaemum,sweet-amber,Watch,,,,,,
Hypericum canariense,Canary Island St. Johnswort; Grenadillo,Moderate,Alert,B,B,C,2,
Hypericum grandifolium,large-leaved Hypericum,Watch,,,,,,
Hypericum perforatum,St. John's wort; klamathweed; tipton weed; goatweed,Limited,,Could not calculate,B,B,3.5,
Hypochaeris glabra,smooth cat's-ear,Limited,,C,C,B,3,
Hypochaeris radicata,rough cat's-ear; false dandelion,Moderate,,C,B,A,2.5,
Ilex aquifolium,English holly,Limited,,C,B,C,3,
Impatiens glandulifera,"Himalayan balsam, ornamental jewelweed, Indian balsam, policeman's-helmet",Watch,,,,,,
Ipomoea indica,blue morning glory,Watch,,,,,,
Iris pseudacorus,yellowflag Iris; pale yellow Iris,Limited,,C,B,C,2.5,
Isatis tinctoria,dyer's woad,Moderate,,B,B,A,3,
Kniphofia uvaria,redhot poker,Watch,,,,,,
Kochia scoparia,Kochia; belvedere; belvedere-cypress; fireball; fireweed; Mexican burningbush; mock cypress,Limited,,B,C,B,3,
Lantana camara,Lantana,Watch,,,,,,
Lathyrus latifolius,"perennial sweet pea, sweet pea, everlasting pea",Watch,,,,,,
Lepidium chalepense,"lens-podded hoary cress, lens-podded whitetop, hoary cress, peppergrass; whitetop, whiteweed, cranson rampant, chalapa whitetop",Moderate,Alert,B,B,C,3,
Lepidium draba,"heart-podded hoary cress, whitetop",Moderate,,B,B,B,3,
Lepidium latifolium,perennial pepperweed; tall whitetop; broadleaved pepperweed,High,,A,A,A,3,
Leptospermum laevigatum,Australian tea tree,Watch,,,,,,
Leucanthemum vulgare,ox-eye daisy; dog daisy; margriet; marguerite daisy; moon daisy; white daisy; yellow daisy;,Moderate,,B,B,B,3,
Ligustrum lucidum,glossy privet; broad-leaved privet; tree privet,Limited,,C,B,B,3.5,
Limnobium spongia,South American spongeplant; West Indian spongeplant,High,,A,A,C,3,
Limonium duriusculum,European sea lavender,Moderate,,B,B,B,3.5,
Limonium ramosissimum,Algerian sea lavender,Limited,,C,C,D,2.5,
Linaria dalmatica ssp. dalmatica,"Dalmatian toadflax, broad-leaved toadflax, wild snapdragon",Moderate,,B,B,B,3,
Linaria vulgaris,yellow toadflax; butter and eggs; common linaria; common toadflax; wild snapdragon,Moderate,,B,B,B,2.5,
Lobularia maritima,sweet Alyssum; sweet alison; seaside Alyssum; seaside Lobularia,Limited,,C,B,B,2.5,
Ludwigia hexapetala,creeping waterprimrose; Uruguay waterprimrose,High,,A,B,C,3,
Ludwigia peploides,floating water primrose; California waterprimrose,High,,A,B,B,2.5,
Lythrum hyssopifolia,hyssop loosestrife; grass poly; hyssop lythrum,Moderate,,C,B,A,3,
Lythrum junceum,"creeping loosestrife, rose loosestrife",Watch,,,,,,
Lythrum salicaria,purple loosestrife,High,,A,A,B,4,
Malephora crocea,coppery Mesembryanthemum,Watch,,,,,,
Marrubium vulgare,horehound; white horehound,Limited,,C,C,B,3,
Maytenus boaria,mayten,Watch,,,,,,
Medicago polymorpha,California burclover; burr medic,Limited,,C,C,A,3,
Melia azedarach,"Chinaberry tree, Pride of India, bead-tree, Cape-lilac, syringaberry tree, Persian lilac, Indian lilac, white cedar",Watch,,,,,,
Melinis repens,"Natal grass, natalgrass, Natal redtop, rose natal grass, Zizka",Watch,,,,,,
Mentha pulegium,pennyroyal; European pennyroyal;  grows-in-a-ditch,Moderate,,C,A,A,3,
Mesembryanthemum crystallinum,crystalline iceplant; common iceplant,Moderate,Alert,B,B,C,3.5,
Mesembryanthemum nodiflorum,slenderleaf iceplant; small flowered iceplant,Limited,,B,C,B,3.5,
Myoporum laetum,ngaio tree; false sandalwood; mousehole tree,Moderate,,B,B,B,3,
Myosotis latifolia,common forget-me-not; wood forget-me-not; broadleaf forget-me-not,Limited,,C,B,B,3,
Myriophyllum aquaticum,parrotfeather; Brazilian watermilfoil; parrotfeather watermilfoil; thread-of-life;,High,,A,B,C,3,
Myriophyllum spicatum,"spike watermilfoil, Eurasian watermilfoil",High,,A,A,B,3,
Nardus stricta,matgrass,Watch,,,,,,
Nassella tenuissima,Mexican feathergrass,Limited,,C,B,B,3.5,
Nassella trichotoma,"serrated tussock, serrated tussock grass, Yass tussock, Yass River tussock",Watch,,,,,,
Nicotiana glauca,tree tobacco,Moderate,,B,B,B,3,
Nothoscordum gracile,false garlic,Watch,,,,,,
Olea europaea,olive,Limited,,C,B,B,3,
Oncosiphon pilulifer,stinknet; globe chamomile,High,,A,A,C,3,
Ononis alopecuroides,foxtail restharrow,Limited,,C,B,C,2.5,
Onopordum acanthium,Scotch thistle; cotton thistle; woolly thistle; winged thistle; jackass thistle; heraldic thistle,High,,A,B,B,3,
Onopordum illyricum,Illyerian thistle,Watch,,,,,,
Orobanche aegyptiaca,Egyptian broomrape,Watch,,,,,,
Osteospermum calendulaceum,stinking Roger,Watch,,,,,,
Oxalis pes-caprae,Bermuda buttercup; buttercup oxalis; sour grass,Moderate,,B,B,B,3,
Paraserianthes lophantha,plume Acacia,Watch,,,,,,
Parentucellia viscosa,yellow glandweed; sticky Parentucellia; broadleaved glandweed,Limited,,C,B,B,3,
Parthenium hysterophorus,Santa Maria feverfew,Watch,,,,,,
Paspalum urvillei,Vasey's grass,Watch,,,,,,
Paspalum vaginatum,seashore Paspalum,Watch,,,,,,
Passiflora tarminiana,banana passionfruit,Watch,,,,,,
Peganum harmala,African-rue,Watch,,,,,,
Pennisetum ciliare,"buffelgrass, buffel grass",Watch,,,,,,
Pennisetum clandestinum,Kikuyu grass,Limited,,C,C,B,2.5,
Pennisetum setaceum,crimson fountain grass; purple fountain grass; tender fountain grass,Moderate,,B,B,B,3,
Pennisetum villosum,feathertop,Watch,,,,,,
Persicaria wallichii,Himalayan knotweed,Watch,,,,,,
Phalaris aquatica,harding grass; bulbous canarygrass; phalaris; toowoomba grass,Moderate,,B,B,B,2.5,
Phoenix canariensis,Canary Island date palm,Limited,,C,B,D,2.5,
Phytolacca americana,common pokeweed; American cancer; American pokeweed; cancer jalap; coakum; garget; inkberry; pigeonberry; poke; poke sallet; pokeberry; pokeweed; red-ink plant; redweed; scoke; Virgina poke,Limited,,C,B,C,3,
Pittosporum undulatum,Victorian box,Watch,,,,,,
Plantago lanceolata,English plantain; buckhorn plantain; buck plantain; black-jacks; narrowleaf plantain; lanceleaf plantain; ribbed plantain; ribgrass; ribwort,Limited,,C,C,B,2.5,
Plecostachys serpyllifolia,petite-licorice,Watch,,,,,,
Poa pratensis,Kentucky bluegrass; smooth meadowgrass,Limited,,C,B,B,3,
Polygala myrtifolia,myrtle-leaf milkwort,Watch,,,,,,
Polypogon monspeliensis,rabbitsfoot grass; annual beardgrass; rabbitfootgrass; tawny beardgrass,Limited,,C,C,B,2.5,
Potamogeton crispus,curly-leaved pondweed; curled pondweed; curly pondweed,Moderate,,B,B,B,3,
Potentilla recta,"sulphur cinquefoil; rough-fruited cinquefoil, erect cinquefoil",Watch,,,,,,
Prunus cerasifera,cherry plum; Myrobalan plum; Pissard plum; purpleleaf plum,Limited,,C,B,B,2,
Pulicaria paludosa,"Spanish false fleabane, Spanish sunflower",Watch,,,,,,
Pyracantha angustifolia,narrowleaf firethorn; slender firethorn; woolly firethorn,Limited,,C,B,B,3,
Pyracantha coccinea,"scarlet firethorn, firethorn",Limited,,C,B,B,3,
Pyracantha crenulata,"Nepalese firethorn, Himalayan firethorn, Nepal firethorn",Limited,,C,B,B,3,
Pyrus calleryana,Callery pear,Watch,,,,,,
