scientific_name,common_name,notes,categories
Dicentra chrysantha,GOLDEN EARDROPS,,"Small Trees / Large Shrubs, Evergreen"
Dicentra formosa,WESTERN BLEEDING HEART,,"Small Trees / Large Shrubs, Evergreen"
"Diplacus aurantiacus, syn. Mimulus aurantiacus",STICKY MONKEY FLOWER,,"Small Trees / Large Shrubs, Evergreen"
Diplacus longiflorus,SOUTHERN BUSH MONKEYFLOWER,,"Small Trees / Large Shrubs, Evergreen"
Dodecatheon species,SHOOTING STAR,native to your area Maianthemum dilatatum (FALSE LILY-OF- THE-VALLEY),"Small Trees / Large Shrubs, Evergreen"
Eleocharis macrostachya,COMMON SPIKERUSH,,"Small Trees / Large Shrubs, Evergreen"
"Elymus condensatus, syn. Leymus condensatus",GIANT WILD RYE,,"Small Trees / Large Shrubs, Evergreen"
Elymus mollis,AMERICAN DUNEGRASS,,"Small Trees / Large Shrubs, Evergreen"
"Elymus mollis, syn. Leymus mollis",AMERICAN DUNEGRASS,,"Small Trees / Large Shrubs, Evergreen"
Encelia actoni,MOUNTAIN BUSH SUNFLOWER,,"Small Trees / Large Shrubs, Evergreen"
Encelia californica,CALIFORNIA BRITTLEBUSH,,"Small Trees / Large Shrubs, Evergreen"
Encelia farinosa,BRITTLEBUSH,,"Small Trees / Large Shrubs, Evergreen"
Encelia frutescens,BUTTON BRITTLEBUSH,,"Small Trees / Large Shrubs, Evergreen"
"Epilobium canum, syn. Zauschneria canum",CALIFORNIA FUCHSIA,,"Small Trees / Large Shrubs, Evergreen"
Eragrostis hypnoides,TEAL LOVEGRASS,,"Small Trees / Large Shrubs, Evergreen"
Eragrostis mexicana,MEXICAN LOVEGRASS,,"Small Trees / Large Shrubs, Evergreen"
"Ericameria nauseosa, syn. Chrysothamnus nauseosus",GRAY RABBITBRUSH,,"Small Trees / Large Shrubs, Evergreen"
Erigeron glaucus,SEASIDE FLEABANE,,"Small Trees / Large Shrubs, Evergreen"
Eriogonum arborescens,SANTA CRUZ ISLAND BUCKWHEAT,"E. fasciculatum (CALIFORNIA BUCKWHEAT), E. giganteum (ST. CATHERINE’S LACE), and others Morella californica, syn. Myrica californica (PACIFIC WAX MYRTLE)","Small Trees / Large Shrubs, Evergreen"
Eriogonum cinereum,ASHYLEAF BUCKWHEAT,,"Small Trees / Large Shrubs, Evergreen"
Eriogonum crocatum,SAFFRON BUCKWHEAT,,"Small Trees / Large Shrubs, Evergreen"
Eriogonum fasciculatum,CALIFORNIA BUCKWHEAT,,"Small Trees / Large Shrubs, Evergreen"
Eriogonum giganteum,ST. CATHERINE’S LACE,"and others Gambelia speciosa, syn. Galvezia speciosa (ISLAND BUSH SNAPDRAGON)","Small Trees / Large Shrubs, Evergreen"
Eriogonum umbellatum,SULPHUR BUCKWHEAT,,"Small Trees / Large Shrubs, Evergreen"
Eriogonum wrightii,WRIGHT’S BUCKWHEAT,,"Small Trees / Large Shrubs, Evergreen"
Eschscholzia caespitosa,SUNCUPS,,"Small Trees / Large Shrubs, Evergreen"
Eschscholzia californica,CALIFORNIA POPPY,,"Small Trees / Large Shrubs, Evergreen"
"Eurybia radulina, syn. Aster radulinus",ROUGHLEAF ASTER,,"Small Trees / Large Shrubs, Evergreen"
Extriplex californica,CALIFORNIA SALTBUSH,,"Small Trees / Large Shrubs, Evergreen"
Fallugia paradoxa,CPACHE PLUME,,"Small Trees / Large Shrubs, Evergreen"
Festuca californica,CALIFORNIA FESCUE,,"Small Trees / Large Shrubs, Evergreen"
Festuca idahoensis,IDAHO FESCUE,,"Small Trees / Large Shrubs, Evergreen"
Forestiera neomexicana,DESERT OLIVE,,"Small Trees / Large Shrubs, Evergreen"
Fragaria californica,WOOD STRAWBERRY,,"Small Trees / Large Shrubs, Evergreen"
Fragaria chiloensis,BEACH STRAWBERRY,,"Small Trees / Large Shrubs, Evergreen"
"Frangula californica, syn. Rhamnus californica",COFFEEBERRY,,"Small Trees / Large Shrubs, Evergreen"
"Frangula purshiana, syn. Rhamnus purshiana","CASCARA SAGRADA, CASCADE BUCKTHORN",,Medium Deciduous Trees
Fraxinus latifolia,OREGON ASH,,Smaller trees and large shrubs with mature heights of less than
"Fremontodendron californicum, F. mexicanum",FLANNEL BUSH,,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
"Gambelia speciosa, syn. Galvezia speciosa",ISLAND BUSH SNAPDRAGON,,"Small Trees / Large Shrubs, Evergreen"
Garrya congdonii,INTERIOR SILKTASSEL,,"Small Trees / Large Shrubs, Evergreen"
Garrya elliptica,COAST SILKTASSEL,,"Small Trees / Large Shrubs, Evergreen"
Garrya flavescens,ASHY/YELLOWLEAF SILKTASSEL,,"Small Trees / Large Shrubs, Evergreen"
Garrya fremontii,FREMONT SILKTASSEL,,"Small Trees / Large Shrubs, Evergreen"
Garrya veatchii,CANYON SILKTASSEL,,"Small Trees / Large Shrubs, Evergreen"
Gaultheria ovatifolia,"OREGON SPICY WINTERGREEN, SLENDER WINTERGREEN, WESTERN TEABERRY",,"Small Trees / Large Shrubs, Evergreen"
Gaultheria shallon,SALAL,,"Small Trees / Large Shrubs, Evergreen"
Gilia capitata,GLOBE GILIA,,"Small Trees / Large Shrubs, Evergreen"
Gilia tricolor,BIRD’S-EYES,,"Small Trees / Large Shrubs, Evergreen"
Grindelia nana,IDAHO GUMPLANT,"and others Solidago canadensis, S. velutina (GOLDENROD)","Small Trees / Large Shrubs, Evergreen"
Grindelia stricta,GUMWEED,,"Small Trees / Large Shrubs, Evergreen"
Helianthella californica,CALIFORNIA HELIANTHELLA,,"Small Trees / Large Shrubs, Evergreen"
Helianthus annuus,ANNUAL SUNFLOWER,and others Lupinus luteolus (PALE YELLOW LUPINE),"Small Trees / Large Shrubs, Evergreen"
Hesperoyucca whipplei,CHAPARRAL YUCCA,,"Small Trees / Large Shrubs, Evergreen"
Heteromeles arbutifolia,TOYON,,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
Heterotheca sessiliflora,FALSE GOLDENASTER,,"Small Trees / Large Shrubs, Evergreen"
Heuchera maxima,ISLAND ALUM ROOT,,"Small Trees / Large Shrubs, Evergreen"
Heuchera micrantha,SMALL-FLOWERED ALUM ROOT,,"Small Trees / Large Shrubs, Evergreen"
"Hierochloe occidentalis, syn. Anthoxanthum occidentale",WESTERN SWEETGRASS,,"Small Trees / Large Shrubs, Evergreen"
Holodiscus discolor,"OCEAN SPRAY, CREAMBUSH",,"Small Trees / Large Shrubs, Evergreen"
Holodiscus dumosus,"MOUNTAIN SPRAY, ROCK- SPIREA",,"Small Trees / Large Shrubs, Evergreen"
"Ipomopsis rubra, syn. Gilia rubra",SCARLET GILIA,,"Small Trees / Large Shrubs, Evergreen"
Iris macrosiphon,LONG TUBED IRIS,,"Small Trees / Large Shrubs, Evergreen"
Iva hayesiana,"SAN DIEGO MARSH ELDER, POVERTY WEED",,"Small Trees / Large Shrubs, Evergreen"
Jaumea carnosa,JAUMEA,,"Small Trees / Large Shrubs, Evergreen"
Juglans californica,CALIFORNIA BLACK WALNUT,,Smaller trees and large shrubs with mature heights of less than
Juglans hindsii,HINDS’ BLACK WALNUT,,Smaller trees and large shrubs with mature heights of less than
Juncus acutus,SPINY RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus balticus,BALTIC RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus effusus,SOFT RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus patens,COMMON RUSH,,"Small Trees / Large Shrubs, Evergreen"
Justicia californica,CHUPAROSA,,"Small Trees / Large Shrubs, Evergreen"
Kallstroemia californica,CALIFORNIA CALTROP,,"Small Trees / Large Shrubs, Evergreen"
Kalmiopsis leachiana,KALMIOPSIS,,"Small Trees / Large Shrubs, Evergreen"
"Keckiella antirrhinoides, K. cordifolia",KECKIELLA,,"Small Trees / Large Shrubs, Evergreen"
Larrea tridentata,CREOSOTE BUSH,,"Small Trees / Large Shrubs, Evergreen"
Lathyrus vestitus,PACIFIC PEA,,"Small Trees / Large Shrubs, Evergreen"
Layia platyglossa,COMMON TIDYTIPS,,"Small Trees / Large Shrubs, Evergreen"
Lepechinia calycina,WHITE PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
"Lepechinia calycina, L. fragrans",PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
Lepechinia fragrans,FRAGRANT PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
"Leptosyne calliopsidea, syn. Coreopsis calliopsidea",LEAFSTEM TICKSEED,,"Small Trees / Large Shrubs, Evergreen"
Leucothoe davisiae,SIERRA LAUREL,,"Small Trees / Large Shrubs, Evergreen"
"Lewisia species Micromeria douglasii, syn. Clinopodium douglasii",YERBA BUENA,,"Small Trees / Large Shrubs, Evergreen"
Linanthus grandiflorus,LARGEFLOWER PHLOX,,"Small Trees / Large Shrubs, Evergreen"
Linum lewisii,BLUE FLAX,,"Small Trees / Large Shrubs, Evergreen"
Lomatium utriculatum,COMMON LOMATIUM,,"Small Trees / Large Shrubs, Evergreen"
Lonicera conjugialis,DOUBLE HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
"Lonicera interrupta, L. subspicata",CHAPARRAL HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
Lonicera involucrata,TWINBERRY,,"Small Trees / Large Shrubs, Evergreen"
Lonicera subspicata,SOUTHERN HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
Lonicera utahensis,RED TWINBERRY,,"Small Trees / Large Shrubs, Evergreen"
Lupinus albifrons,SILVER BUSH LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus arboreus,YELLOW BUSH LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus microcarpus,"CHICK LUPINE, DENSE- FLOWERED PLATYCARPOS",and others Nemophila maculata (FIVESPOT),"Small Trees / Large Shrubs, Evergreen"
Lupinus nanus,SKY LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus polyphyllus,BIGLEAF LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus succulentus,SUCCULENT LUPINE,and others,"Small Trees / Large Shrubs, Evergreen"
Lycium brevipes,BAJA DESERT THORN,,"Small Trees / Large Shrubs, Evergreen"
Lycium californicum,CALIFORNIA BOXTHORN,,"Small Trees / Large Shrubs, Evergreen"
Lyonothanmus floribundus,CATALINA IRONWOOD,,Medium Evergreen to Semi-Evergreen Trees
Maianthemum racemosa,FALSE SOLOMON’S SEAL,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus densiflorus,YELLOW STEM BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus fasciculatus,CHAPARRAL BUSHMALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus fremontii,FREMONT’S BUSHMALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus jonesii,JONES’S BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus palmeri,SANTA LUCIA BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
"Malosma laurina, syn. Rhus laurina",LAUREL SUMAC,,"Small Trees / Large Shrubs, Evergreen"
Malus fusca,WESTERN/OREGON CRABAPPLE,,Medium Deciduous Trees
Melica californica,CALIFORNIA MELICGRASS,,"Small Trees / Large Shrubs, Evergreen"
Melica subulata,ALASKA ONION GRASS,,"Small Trees / Large Shrubs, Evergreen"
Mentzelia laevicaulis,BLAZING STAR,,"Small Trees / Large Shrubs, Evergreen"
"Mirabilis laevis, syn. Mirabilis californica",CALIFORNIA FOUR O’CLOCK,,"Small Trees / Large Shrubs, Evergreen"
"Monardella australis, syn. Monardella odoratissima",DESERT MINT,,"Small Trees / Large Shrubs, Evergreen"
Monardella macrantha,RED MONARDELLA,,"Small Trees / Large Shrubs, Evergreen"
Monardella purpurea,SISKIYOU MONARDELLA,,"Small Trees / Large Shrubs, Evergreen"
