scientific_name,common_name,swap_type,notes,categories
Pyracantha crenatoserrata,BROAD-LEAF FIRETHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pyracantha crenulata,NEPALESE FIRETHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pyracantha fortuneana,CHINESE FIRETHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Pyracantha koidzumii,FORMOSAN FIRETHORN,BAD OR NOXIOUS,; all members of this species tend to become invasive,"Small Trees / Large Shrubs, Evergreen"
"Reynoutria japonica, syn. Fallopia japonica, Polygonum cuspidatum",JAPANESE KNOTWEED,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Reynoutria ×bohemica, syn. Polygonum ×bohemicum",BOHEMIAN KNOTWEED,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Rhamnus alaternus,ITALIAN BUCKTHORN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ricinus communis,CASTOR BEAN/OIL PLANT,BAD OR NOXIOUS,whole plant toxic; seeds toxic to birds if eaten,"Small Trees / Large Shrubs, Evergreen"
Robinia pseudoacacia,BLACK LOCUST,BAD OR NOXIOUS,seeds toxic to birds and other animals,Smaller trees and large shrubs with mature heights of less than
Rosa,ROSE,BAD OR NOXIOUS,varieties with double flowers that have lost pollen and nectar resources,"Small Trees / Large Shrubs, Evergreen"
Rubus armeniacus,HIMALAYAN BLACKBERRY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Salvia aethiopis,MEDITERRANEAN SAGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Salvia aethiopsis,MEDITERRANEAN SAGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Salvia pratensis, S. sclarea",CLARY SAGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Sesbania punicea,RED SESBANIA / SCARLET WISTERIA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Spartium junceum,SPANISH BROOM,BAD OR NOXIOUS,"; all regenerate vigorously after fire from long- lived seed bank, crowd out other species; seeds toxic to livestock and birds","Small Trees / Large Shrubs, Evergreen"
Stipa brachychaeta,PUNAGRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Stipa tenuissima, syn. Nassella tenuissima",MEXICAN FEATHERGRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Tagetes erecta,AFRICAN MARIGOLD,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Tamarix species and hybrids,TAMARISK / SALT CEDAR,BAD OR NOXIOUS,invasive in riparian areas; all quite ignitable,Medium Deciduous Trees
Tanacetum parthenium,FEVERFEW,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Tecoma capensis,CAPE HONEYSUCKLE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Tetragonia teragonioides,NEW ZEALAND SPINACH,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Torilis arvensis,HEDGEPARSLEY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Triadica sebifera, syn. Sapium sebiferum",CHINESE TALLOW TREE,BAD OR NOXIOUS,,Medium Deciduous Trees
Trifolium hirtum,ROSE CLOVER,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Trifolium repens,WHITE CLOVER,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Turfgrasses: Cynodon dactylon and hybrids,BERMUDA GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Tussilago farfara,COLTSFOOT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ulex europaeus,GORSE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ulmus pumila,SIBERIAN ELM,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Verbena bonariensis,TALL VERBENA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Vinca major,PERIWINKLE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Vincetoxicum nigrum, syn. Cynanchum louiseae",BLACK SWALLOW-WORT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Vitex agnus-castus,CHASTE TREE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Weedy mustards, grasses, and thistles",,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Wisteria brachybotrys,SILKY WISTERIA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Wisteria floribunda,JAPANESE WISTERIA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Wisteria sinensis,CHINESE WISTERIA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Zantedeschia aethiopica,CALLA LILY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
