scientific_name,common_name,deer_resistant
Kalmia latifolia,Mountain Laurel,True
Kerria japonica,Japanese Kerria,True
Kniphofia uvaria,Red Hot Poker,True
Koelreuteria bipinnata,Chinese Flame Tree,True
Koelreuteria paniculata,Golden Rain Tree,True
Kolkwitzia amabilis,Beautybush,True
Lagerstroemia indica,Crape Myrtle,True
Lamium maculatum 'Aureum',Golden Dead Nettle,True
Lamprocapnos spectabilis,Bleeding Heart,True
Lantana camara,Common Lantana,True
Larix decidua,European Larch,True
Lavandula stoechas,French Lavender,True
Lavandula x intermedia,Hybrid Lavender,True
Lespedeza thunbergii,Bush Clover,True
Leucanthemum vulgare,Marguerite,True
Leucanthemum x superbum,Shasta Daisy,True
Leucojum aestivum,Lodden Lily,True
Leucojum vernum,Snowflake,True
Leucothoe axillaris,Coastal Doghobble,True
Leucothoe fontanesiana,Doghobble,True
Leymus arenarius,Blue Lyme Grass,True
Liatris microcephala,Appalachian Blazing Star,True
Ligustrum japonicum,Japanese Privet,True
Ligustrum lucidum,Glossy Privet,True
Ligustrum sinense,Chinese Privet,True
Liquidambar formosana,Chinese Sweetgum,True
Liquidambar styraciflua,American Sweet Gum,True
Liriodendron tulipifera,Tulip Tree,True
Liriope,Lilyturf,True
Liriope muscari,Big Blue Lilyturf,True
Liriope spicata,Creeping Lilyturf,True
Lonicera fragrantissima,Fragrant Honeysuckle,True
Lonicera maackii,Amur Honeysuckle,True
Lonicera periclymenum,Common Honeysuckle,True
Lonicera sempervirens,Coral Honeysuckle,True
Lonicera x heckrottii,Goldflame Honeysuckle,True
Magnolia x soulangeana,Saucer Magnolia,True
Malvaviscus arboreus var. drummondii,Turk's Cap,True
Melaleuca citrina,Crimson Bottle Brush,True
Melampodium leucanthum,Blackfoot Daisy,True
Metasequoia glyptostroboides,Dawn Redwood,True
Microbiota decussata,Siberian Carpet Cypress,True
Mimulus ringens,Allegheny Monkey Flower,True
Miscanthus sinensis,Maiden Grass,True
Miscanthus transmorrisonensis,Evergreen Miscanthus,True
Monarda bradburyana,Bradbury Beebalm,True
Monarda didyma,Bee Balm,True
Monarda fistulosa,Wild Bergamot,True
Monarda punctata,Spotted Beebalm,True
Morus rubra,Red Mulberry,True
Muhlenbergia capillaris,Pink Muhly Grass,True
Muhlenbergia lindheimeri,Lindheimer's Muhly,True
Muscari,Grape Hyacinth,True
Myrica californica,California Bayberry,True
Myrica cerifera,Southern Wax Myrtle,True
Myrtus communis,Common Myrtle,True
Nandina domestica,Heavenly Bamboo,True
